stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-1295,Fancy Colour,VIVID PINK,PEAR,3.74,3.00–4.99ct,VS1,,EX,EX,14.38 - 8.36 * 4.83,57.8,64.0,1.72,IGI,713536930,https://api.igi.org/viewpdf.php?r=713536930,https://workshop.360view.link/360viewer/360view.html?d=0307253-PDKP-1295
PDKL-28,Fancy Colour,INTENSE PINK,PEAR,3.73,3.00–4.99ct,VS1,,EX,EX,13.73 - 8.46 * 4.83,57.1,62.0,1.62,IGI,654418133,https://api.igi.org/viewpdf.php?r=654418133,https://workshop.360view.link/360viewer/360view.html?d=2410244-PV-19
PDKP-1257,Fancy Colour,INTENSE PINK,PEAR,3.71,3.00–4.99ct,VS1,,EX,EX,14.38 - 8.30 * 4.89,58.9,66.0,1.73,IGI,713536781,https://api.igi.org/viewpdf.php?r=713536781,https://workshop.360view.link/360viewer/360view.html?d=0107254-pdkp-1257
PDPV-129,Fancy Colour,VIVID PINK,PEAR,3.71,3.00–4.99ct,VS1,,EX,EX,13.55 - 8.48 * 5.03,59.3,65.0,1.6,IGI,713537477,https://api.igi.org/viewpdf.php?r=713537477,https://workshop.360view.link/360viewer/360view.html?d=2307257-PV-129
PDKP-3064,Fancy Colour,VIVID PINK,PEAR,3.67,3.00–4.99ct,VS1,,EX,EX,13.56 - 8.42 * 4.87,57.8,67.0,1.61,IGI,811621502,https://api.igi.org/viewpdf.php?r=811621502,
PDKP-2126,Fancy Colour,VIVID PINK,PEAR,3.65,3.00–4.99ct,VS1,,EX,EX,13.64 - 8.48 * 4.84,57.1,64.0,1.61,IGI,779630401,https://api.igi.org/viewpdf.php?r=779630401,https://workshop.360view.link/360viewer/360view.html?d=2503262-PDKP-2126-PR
PDKP-2141,Fancy Colour,VIVID PINK,PEAR,3.6,3.00–4.99ct,VS1,,EX,EX,12.94 - 8.10 * 4.95,61.1,65.0,1.6,IGI,783630156,https://api.igi.org/viewpdf.php?r=783630156,https://workshop.360view.link/360viewer/360view.html?d=0304262-PDKP-2141
PDKP-2082,Fancy Colour,VIVID PINK,PEAR,3.59,3.00–4.99ct,VS1,,EX,EX,12.87 - 8.41 * 4.88,58.0,64.0,1.53,IGI,770653408,https://api.igi.org/viewpdf.php?r=770653408,https://workshop.360view.link/360viewer/360view.html?d=1103267-PDKP-2082
PDKP-3052,Fancy Colour,VIVID PINK,PEAR,3.57,3.00–4.99ct,VVS2,,EX,EX,13.41 - 8.35 * 4.85,58.1,66.0,1.61,IGI,816655687,https://api.igi.org/viewpdf.php?r=816655687,https://workshop.360view.link/360viewer/360view.html?d=1307264-PDKP-3052
PDKP-3053,Fancy Colour,VIVID PINK,PEAR,3.57,3.00–4.99ct,VVS2,,EX,EX,13.35 - 8.38 * 4.87,58.1,67.0,1.59,IGI,816655683,https://api.igi.org/viewpdf.php?r=816655683,https://workshop.360view.link/360viewer/360view.html?d=1307261-PDKP-3053
PDKP-3071,Fancy Colour,VIVID PINK,PEAR,3.56,3.00–4.99ct,VVS2,,EX,EX,13.77 - 8.15 * 4.77,58.5,66.0,1.69,IGI,818608784,https://api.igi.org/viewpdf.php?r=818608784,
PDKP-3017,Fancy Colour,VIVID PINK,PEAR,3.55,3.00–4.99ct,VS1,,EX,EX,13.19 - 8.27 * 4.82,58.3,66.0,1.59,IGI,815647661,https://api.igi.org/viewpdf.php?r=815647661,https://workshop.360view.link/360viewer/360view.html?d=0907268-PDKP-3017
